Org;Type_Org;Date_demande;Type_data;Data_pairing;Title;Technical_instruction;Decision;Date_Decision;Status;Inclusion;Exclusion_reason;Specialty;Study_design;Disease or event
INSERM-CNRS;Recherche publique;sept-17;Autres;Oui;Caract‚ristiques des m‚decins g‚n‚ralistes lib‚raux fran‡ais expos‚s aux avantages des firmes pharmaceutiques;Oui;Oui;sept-17;INDS;1;;Public health;Transversal study;
Bureau d'‚tude;Recherche priv‚e;fevrier 2019;Extraction SNDS;Oui;Caract‚ristiques et prise en charge th‚rapeutique des patientes atteintes d'un cancer du col de l?ut‚rus m‚tastatique ou en rechute en France ? une ‚tude de cohorte avec les donn‚es du SNDS;Oui;Oui;mars-19;INDS;1;;Gynecology;Longitudinal study;Cervical cancer
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;A user-friendly score to predict risk of recurrence of hepatocellular carcinoma after liver resection;Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;Optimisation de la prise en charge anesth‚sique pour lambeaux libres;Oui;Oui;oct-17;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;janv-19;Extraction SNDS;Oui;Caract‚ristiques et prise en charge th‚rapeutique des patients atteints d'un my‚lome multiple en rechute ou r‚fractaire en France ? une ‚tude de cohorte avec les donn‚es du SNDS;Oui;Oui;fevrier 2019;INDS;1;;Haematology;Longitudinal study;Multiple myeloma
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;L?infection de coul‚es de n‚crose au cours des pancr‚atites aigues n‚crosante: Peut-on pr‚dire le risque d?‚chec de drainage seul?;Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;18  09  19;PMSI national, Autres donn‚es;;Cartes de contr“le en chirurgie;;;;MR005;1;;Public health;Descriptive;Surgery
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;tude prospective multicentrique observationnelle ‚valuant l'efficacit‚ du d‚pistage ant‚natal des cardiopathies cong‚nitales de l?ex r‚gion Basse Normandie. CADOCAN;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;janv-18;Dossiers m‚dicaux;Non;Valeurs pr‚dictives des signes cliniques et endoscopiques sur le r‚sultat de l?exploration en manom‚trie haute r‚solution chez l?enfant;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;M‚canismes endogŠnes de l'inactivation de l'endoth‚lium tumoral;Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;Scl‚rose en plaques : risque de rechute aprŠs primo-vaccination fiŠvre jaune. Etude AMARSEP;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Universit‚ / Ecole;Recherche publique;nov-17;Enquˆtes;Non;Les Technologies de l?Information et de la Communication au service du maintien … domicile des personnes ƒg‚es en perte d?autonomie;Non;Hors champs;;INDS;0;Survey without pairing with national data;;;
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;Evaluation des performances du CPSSS par telephone lors de la r‚gulation des appesl au 15 pour le diagnostic de l'infarctus cerebral li‚ … une occlusion proximale. Etude SCENE : Stroke Cpsss Evaluation iN prEhospital;Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
CLCC;Recherche publique;oct-17;Dossiers m‚dicaux;Non;Validation d?un systŠme de stratification du risque pour les tumeurs germinales ovariennes malignes.;Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
CLCC;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Impact du concept de maintenance par Pemetrexed sur la r‚ponse … l'immunoth‚rapie en 2Šme ligne, dans les cancers bronchiques non … petites cellules stade IV;Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
CLCC;Recherche publique;oct-17;Dossiers m‚dicaux;Non;tat des lieux de l?information relative … l?oncofertilit‚ d‚livr‚e par les praticiens prenant en charge des jeunes patientes atteintes de cancer du sein;Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;nov-17;Cohorte;Non;LTP VTE ? Pr‚vention … long terme des thromboembolies veineuses : ‚pid‚miologie et sch‚mas de traitement issus du groupe d?‚tude de Bretagne occidentale.ÿ;Oui;Oui;decembre 2017;INDS;0;Cohort without pairing with national data;;;
Bureau d'‚tude;Recherche priv‚e;oct-17;Autres;Non;Etude de l?observance des primo-dispensations des inhibiteurs des r‚cepteurs P2Y12 au cours des 6 premiers mois de traitement Etude r‚trospective sur base de donn‚es anonymis‚es;Oui;Oui;decembre 2017;INDS;0;Ad hoc study without pairing with national data;;;
Association loi 1901;Recherche publique;oct-17;Dossiers m‚dicaux;Non;Evaluation du programme Personnalis‚ de soins en canc‚rologie (EVAPePS);Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Autres;Recherche publique;;PMSI seul;Non;Recueil PMSI de l'activit‚ SSR de l'‚tablissement;Non;Non;;INDS;0;Not approuved;;;
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;Cancer et Fibrose Pulmonaire: caract‚risation pathologique et mol‚culaire - Etude K-FPI;Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;;C‚pidc seul;Oui;CARTTAS: CAR T-cell Therapy and ICU AdmisSion;Non;;;INDS;1;;Haematology;Pharmacoepidemiology;
Agences;MinistŠre/Agences;fevrier 2018;Dossiers m‚dicaux;Non;Pr‚figuration des infirmiers cliniciens sp‚cialis‚s(PrefICS) Etudeÿ m‚dico-‚conomique ;Oui;Oui;sept-18;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;oct-17;Enquˆtes;Non;Observatoire des populations prises en charge au long cours dans les ‚tablissements sanitaires de psychiatrie en r‚gion Nouvelle-Aquitaine;Oui;Oui;nov-17;INDS;0;Survey without pairing with national data;;;
CHU;Recherche publique;oct-17;Extraction SNDS;Oui;Chainage de la cohorte DESIR aux donn‚es du SNIIRAM;Oui;Oui;oct-17;INDS;1;;Rheumatology;Longitudinal study;
CLCC;Recherche publique;oct-17;Dossiers m‚dicaux;Non;Recherche de profils transcriptomiques (mRNA, miRNA, lncRNA?) diff‚rentiels li‚s … ?environnement socio-‚conomique chez les femmes pr‚sentant un cancer de l?ovaire s‚reux de haut grade;Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;"Cancer colorectal me?tastatique RAS/RAF sauvage en 1e?re ligne avec bi-chimiothe?rapie: l?introduction de l?anti-EGFR en de?cale? aux 2e?me ou 3e?me cycles, vs une 1e?re ligne avec un anti-VEGF, a-t-il un impact sur la survie ? Etude
 re?trospective multicentrique";Oui;Oui;janv-18;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;oct-17;Dossiers m‚dicaux;Non;Etat des lieux de la maintenance dans le cancer du pancr‚as m‚tastatique et recherche de facteurs pr‚dicitifs de survie. (Etude r‚trospective, non interventionnelle);Oui;Oui;nov-17;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Evaluation des r‚sultats … moyen terme de l?endoprothŠse Anaconda dans le traitement endovasculaire des an‚vrismes de l?aorte abdominal … collet angul‚;Oui;Oui;janv-18;INDS;0;EHR without pairing with national database;;;
Industriel de sant‚;;03  06  19;PMSI national;;Characterization of patients with patent foramen ovale occlusion Analysis of 2008 to 2017 French Hospital Discharge database (PMSI);;;;MR006;1;;Cardiology;Transversal study;
Industriel sant‚;Recherche priv‚e;mai-19;Extraction SNDS;Oui;Childhood cerebral adrenoleukodystrophy (CCALD) in France: epidemiology, natural history and burden of disease - A population-based study;Oui;Oui;juin-19;INDS;1;;Pediatry;Longitudinal study;Childhood cerebral adrenoleukodystrophy
Autres;Recherche priv‚e;nov-17;Dossiers m‚dicaux;Non;Int‚rˆt d'une consultation pr‚coce syst‚matique en sortie d'hospitalisation pour les patients ƒg‚s de 75 ans et plus. Point de vue des m‚decins g‚n‚ralistes.;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;nov-17;Dossiers m‚dicaux;Non;AccŠs ‚largi au Blincyto© chez les patients atteints de leuc‚mie aigu‰ lymphoblastique: une ‚tude observationnelle r‚trospective (tude Neuf);Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Facteurs pr‚dictifs de thrombop‚nies induites … l'h‚parine parmi les thrombop‚nies inf‚rieures ou ‚gales … 100G/L sous ECMO veino-art‚rielle en r‚animation. Etude TromboECMO;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CLCC;Recherche publique;mai-19;Dossiers M‚dicaux;Oui;Chimioth‚rapie par PCV vs Temozolomide en association … la radioth‚rapie pour les astrocytomes anaplasiques IDH mut‚s : ‚tude r‚trospective multicentrique;Oui;Oui;juin-19;INDS;1;;Neurology;Pharmacoepidemiology;Brain cancer
CLCC;Recherche publique;juin-18;Extraction SNDS;Oui;Cohorte Cancer;Oui;Oui;juil-18;INDS;1;;Oncology;Longitudinal study;
Autres;Recherche priv‚e;nov-17;Dossiers m‚dicaux;Non;Etude de pratique de m‚decins g‚n‚ralistes de la Dr“me dans la prise en charge des adolescents en consultation.;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CLCC;Recherche publique;fevrier 2018;Autres;Non;Individual patient data meta-analysis of randomized trials to assess the surrogacy of intermediate endpoints of overall survival in newly diagnosed advanced ovarian epithelial, fallopian tube and primary peritoneal cancer;Oui;Oui;mars-18;INDS;0;Ad hoc study without pairing with national data;;;
Autres;Recherche priv‚e;nov-17;Dossiers m‚dicaux;Non;Evaluation de la survenue des complications uro-n‚phrologiques de l'OXalurie ent‚rique post By-Pass grƒce … la prise en charge n‚phrologique globale (OXBP);Oui;Oui;decembre 2017;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Etude des causes de d‚cŠs et des complications nosocomiales chez les patients pris en charge en r‚animation pour choc septique (‚tude MORTASEPSIS_v2016);Oui;Oui;mars-18;INDS;0;EHR without pairing with national database;;;
Universit‚ / Ecole;Recherche publique;decembre 2017;Dossiers m‚dicaux;Non;Etude des causes d?inaptitude m‚dicale en r‚gion PACA et en Corse ;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Thrombectomie m‚canique dans l'accident vasculaire c‚r‚bral: Optimisation de la s‚lection des candidats et marqueurs pronostics pr‚coces.;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Atteintes pulmonaire associ‚es … la pr‚sence de l?anticorps anti-ribonucl‚oprot‚ine (RNP);Oui;Oui;decembre 2017;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;decembre 2017;Dossiers m‚dicaux;Non;Validation d'un protocole d'‚tude pilote pour l'‚laboration d'un dispositif de recherche innovant afin d'‚tudier la communication non verbale des m‚decins g‚n‚ralistes dans la relation m‚decin-patient.ÿ L'objet de la recherche portera plus pr‚cis‚ment sur l'‚tude de l'influence du regard des m‚decins g‚n‚ralistes sur le ressenti des patients en consultation en m‚decine g‚n‚rale.ÿ;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Recueil des donn‚es sur la r‚alisation d'une s‚dation profonde continue jusqu'au d‚cŠs, en p‚diatrie, avec intervention d'une Equipe Ressource R‚gionale de Soins Palliatifs P‚diatriques sur la p‚riode 2017-2019;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Autres;Recherche priv‚e;nov-17;Dossiers m‚dicaux;Non;D‚veloppement d?un algorithme d'intelligence artificielle pour l?interpr‚tation de mammographie de d‚pistage.;Oui;Oui;decembre 2017;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;fevrier 2018;dossiers m‚dicaux;Non;Combining image- and ontology-based learning for knowledge extraction in echocardiography (EN)Combinaison d'apprentissages bas‚ image et bas‚ ontologie pour l'extraction de connaissances en ‚chographie cardiaque (FR);Oui;Oui;mars-18;INDS;0;EHR without pairing with national database;;;
Universit‚ / Ecole;Recherche priv‚e;nov-17;Dossiers m‚dicaux;Non;volution de la prescription de neuroleptiques aprŠs l'admission en Unit‚ Sp‚cifique Alzheimer. tat des lieux dans des EHPAD de Gironde et des Landes.;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Oui;Recanalisation art‚rielle pr‚coce par thrombolyse intraveineuse par Tenecteplase vs. Alteplase,ÿchez les patients avec occlusion art‚rielle proximale, transf‚r‚s pour thrombectomie m‚canique.ÿUne ‚tude observationnelle r‚trospectiveÿ;Non;Hors champs;;INDS;0;Not approuved;;;
Industriel de sant‚;;30  08  18;PMSI national;;Comparaison des co–ts associ‚s au traitement d?un an‚vrisme de l?artŠre aortique par pose d?endoprothŠse : Analyse des bases hospitaliŠres PMSI publique et priv‚e 2014-2017;;;;MR006;1;;Cardiology;Pharmacoepidemiology;Medical devices
CHU;Recherche publique;mai-18;Dossiers m‚dicaux;Non;Evaluation ‚chographique de l'a‚ration pulmonaire chez des patients ayant un sindr“me de d‚tresse respiratoire aige s‚vŠre trait‚ par ECMO veino-veineuse : ‚tude r‚trsopective;Oui;Non;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;mars-19;Extraction SNDS;Oui;ComPaRe: Communaut‚ de Patients pour la Recherche;Oui;Oui;avr-19;INDS;1;;General Medicine;Longitudinal study;
ORS des Pays de la Loire;ORS;20150529;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Conception d'indicateurs de consommation de soins - Demande de prolongation;Termin‚e;D‚cision de prolongation;20150609;IDS;0;Double;;;
Universit‚ / Ecole;Recherche publique;mars-19;Cohorte;Oui;Cons‚quences de la scl‚rose en plaques sur les parcours professionnels en France (‚tude EMOJI : ?Effects of Multiple sclerosis on Occupational traJectorIes?) ;Oui;Oui;avr-19;INDS;1;;Neurology;Longitudinal study;Multiple sclerosis
CHU;Recherche publique;janv-18;Dossiers m‚dicaux;Non;"Abominal Surgery Induced Lung Injury ""ASILI""";Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Etude r‚trospective multicentrique ‚valuant la tol‚rance et l?efficacit‚ de la r‚-irradiation prostatique pour la prise en charge d?une rechute locale d?un ad‚nocarcinome de  prostate trait‚ initialement par irradiation;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
INSERM;INSERM;20151012;Extraction d'un ‚chantillon;Non;Consommation d?indemnit‚s journaliŠres et ses d‚terminants chez les patients atteints de Leuc‚mie My‚lo‹de Chronique et trait‚s par inhibiteurs de tyrosine-kinase - Extension de l'historique;Termin‚e;Approbation;20151124;IDS;1;;Haematology;Pharmacoepdemiology;chronic myeloid leukemia
IAU Ile de France;ORS;20150729;Tb de bord, donn‚es agr‚g‚es, EGB;Non;Consommation de soins en France - Demande de prolongation;Termin‚e;D‚cision de prolongation;20150908;IDS;0;Double;;;
CHU;Recherche publique;nov-17;Autres;Non;Transmission d?images appliqu‚e … la transplantation d?organes : ‚tude avant/aprŠs de l?efficience du dispositifCRISTALIMAGE;Non;Hors champs;;INDS;0;Ad hoc study without pairing with national data;;;
Bureau d'‚tude;Recherche priv‚e;mai-18;PMSI seul;Non;Construction d?indicateurs d?activit‚, de positionnement et d?efficience des ‚tablissements de sant‚ et de l?offre hospitaliŠre;Oui;Oui;juil-18;INDS;1;;Public health;Economics;
Universit‚ / Ecole;Recherche publique;fevrier 2018;Dossiers m‚dicaux;Oui;Corr‚lation ph‚notype-g‚notype chez des patients avec mutation de DMDÿet expression d'une dystrophine r‚siduelle;Oui;Oui;mars-18;INDS;1;;Internal medicine;Transversal study;
Industriel sant‚;Recherche priv‚e;nov-17;Autres;Non;Evaluation de l'expression de l'isoforme transmembranaire de CD160 (CD160-TM) dans les biopsies de patients atteints de cancer.;Oui;Oui;fevrier 2018;INDS;0;Ad hoc study without pairing with national data;;;
Industriel sant‚;Recherche priv‚e;sept-18;Extraction SNDS;non;Co–t et  modalit‚s de  prise en  charge  des  patients atteints  de d‚ficit  en  alpha anti-trypsine  en  France;Oui;Oui;nov-18;INDS;1;;Internal medicine;Economics;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;ÿ® Atteintes vasculaires c‚r‚brales au cours de la sarco‹dose ¯ ® Cerebrovascular disease in sarcoidosis ¯ ;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Atteintes coronariennes au cours du lupus syst‚mique : une ‚tude sur donn‚es angiographiques;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Registres;Non;Recueil de l'adresse complŠte des patients pour le registre g‚n‚ral des cancers en r‚gion Limousin;Oui;Oui;decembre 2017;INDS;0;Register without pairing with national data;;;
CHU;Recherche publique;decembre 2017;Dossiers m‚dicaux;Non;HERPETICS (Herpes in the Intensive Care Unit Study) : Epid‚miologie et pronostic des enc‚phalites herp‚tiques admises en r‚animation: Etude restrospective;Oui;Oui;janv-18;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Induction … s‚quence rapide des patients en ‚tat de mal ‚pileptique convulsif : Etude restrospective monocentrique induction;Oui;Oui;decembre 2017;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;avr-18;Extraction SNDS;Oui;Couverture vaccinale antipneumococcique chez les insuffisants r‚naux chroniques terminaux ayant d‚marr‚ la dialyse en 2015 en France et son impact sur la morbi-mortalit‚. - PneumovacIRCT;Oui;Oui;mai-18;INDS;1;;Nephrology;Longitudinal study;Vaccin
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Epid‚miologie,  FActeurs pr‚dictifs  et pronostic des p‚ritonites secondaires  chez le patient cirrhotique de r‚animation ou de soins intensifs Etude PERITONUS;Oui;Oui;decembre 2017;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Epid‚miologie, d‚terminants et pronosticÿ des h‚patites hypoxiques aprŠs ‚tat de mal ‚pileptique convulsif hypopus;Oui;Oui;decembre 2017;INDS;0;EHR without pairing with national database;;;
Universit‚ / Ecole;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Prise en charge de la fin de vie aux urgences en France : une ‚tude observationnelle;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Comparaison des diff‚rents modes de reconstruction sur cam‚ra TEP num‚rique (NUMANAPET);Oui;Oui;mars-18;INDS;0;EHR without pairing with national database;;;
Autres;Autres;decembre 2017;Autres;Non;Facteurs de r‚cup‚ration du taux d'h‚moglobine aprŠs don de sang total;Oui;Oui;janv-18;INDS;0;Ad hoc study without pairing with national data;;;
CHU;Recherche publique;;Autres;Non;Influence de la chlor‚mie des patients en ‚tat de mort enc‚phalique donneurs d'organe(s) sur la reprise de fonction du greffon r‚nal chez les patients receveurs;Non;Non;;INDS;0;Ad hoc study without pairing with national data;;;
CHU;Recherche publique;mars-18;Dossiers M‚dicaux;Non;La thrombose des veines ponts : un signe sp‚cifique du b‚b‚ secou‚ ?;Oui;Oui;avr-18;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;juil-18;Extraction SNDS;Oui;Couverture vaccinale antipneumococcique chez les insuffisants r‚naux chroniques terminaux ayant d‚marr‚ la dialyse en 2015 en France et son impact sur la morbi-mortalit‚. - PneumovacIRCT;Oui;Oui;juil-18;INDS;0;Double;;;
CHU;Recherche publique;decembre 2017;Dossiers m‚dicaux;Oui;Evaluation de l?impact pronostic et pr‚dictif de l?Immunoscore dans les tumeurs uroth‚liales;Non;Hors champs;;INDS;0;Not approuved;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Non;Epid‚miologie clinique et pathog‚nicit‚ mol‚culaire de Staphylococcus lugdunensis en France;Oui;Oui;mars-18;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;mars-18;Dossiers m‚dicaux;Oui;"Description des r‚sultats de la tomographie par ‚mission de positon (TEP) au 18FDG au cours de la scl‚rodermie syst‚mique, une ‚tude pilote cas-t‚moinsmulticentrique. ""SCLERO-TEP""";Non;Hors champs;;INDS;0;Not approuved;;;
CHU;Recherche publique;decembre 2017;Dossiers m‚dicaux;Non;Conduite de l?oxyg‚noth‚rapie … haut d‚bit au cours de l?insuffisance respiratoire aigu‰ hypox‚mique : Etude observationnelle multicentrique;Oui;Oui;janv-18;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;decembre 2017;Dossiers m‚dicaux;Non;Scl‚rose en plaques du sujet ƒg‚: caract‚ristiques ‚pid‚miologiques, cliniques et IRM - projet OLDMUS;Oui;Oui;janv-18;INDS;0;EHR without pairing with national database;;;
Association loi 1901;Recherche publique;decembre 2017;Autres;Non;IFCT-1702 IMPACT-SEPSIS Impact d?un ‚v‚nement infectieux significatifÿ sur le pronostic des patients avec uncancer broncho-pulmonaire ou un m‚soth‚liome trait‚s par chimioth‚rapie;Oui;Oui;janv-18;INDS;0;Ad hoc study without pairing with national data;;;
CHU;Recherche publique;janv-18;Dossiers m‚dicaux;Non;R‚duction optimale de la dose de FOLFIRINOX pour pr‚server la r‚ponse tumorale dans les cancers du pancr‚as avanc‚s : utilisation de dose-intensit‚ relative cumul‚e selon le modŠle de Hryniuk modifi‚ dans une population fran‡aise;Oui;Oui;mars-18;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;decembre 2017;Dossiers M‚dicaux;Non;Faut-il explorer les gar‡ons 45,X/46,XY sans anomalie de d‚veloppement des organes g‚nitaux externes ? Etude longitudinale r‚trospective de 40 patients;Oui;Oui;fevrier 2018;INDS;0;EHR without pairing with national database;;;
Bureau d'‚tude;Recherche priv‚e;decembre 2017;Dossiers M‚dicaux;Non;A Retrospective Chart Review of Hospitalizations of Adult Patients with Acute Myeloid Leukemia with IDH2 mutation in France;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;janv-18;Dossiers M‚dicaux;Non;EPIC : Etude des Proc‚dures d?Injection de produit de Contraste en pratique courante des centres d?Imagerie en France;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;decembre 2017;Dossiers M‚dicaux;Oui;Strat‚gies de pr‚vention et traitement des ‚pisodes infectieux chez le patient spl‚nectomis‚ en m‚decine g‚n‚rale en Aquitaine entre 2010 … 2017;Non;Hors champs;;INDS;0;Not approuved;;;
Universit‚ / Ecole;Recherche publique;janv-18;Autres;Non;Quel est l?effet de la retraite anticip‚e sur la dynamique des d‚penses de sant‚ des seniors ?;Oui;Oui;juil-18;INDS;0;Ad hoc study without pairing with national data;;;
Industriel sant‚;Recherche priv‚e;decembre 2017;Dossiers M‚dicaux;Non;Etude retrospective sur des donn‚es patients pour l'‚valuation de la s‚curit‚ et de l'efficacit‚ de la compresse hemostatique Pangen en chirurgie generale et viscerale;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;janv-18;Dossiers M‚dicaux;Non;Cette ‚tudeÿexaminera les performances de l?usage exp‚rimental de la cassette Curetis Unyvero Urinary Tract Infection (UNYVERO UTI) dans des conditions de routine et comparera les r‚sultats d?UTI UNYVERO obtenus, aux r‚sultats de microbiologie syst‚matique des mˆmes ‚chantillons (c'est-…-dire dans les normes standards de soin);Oui;Oui;fevrier 2018;INDS;0;EHR without pairing with national database;;;
Association loi 1901;Recherche publique;janv-18;Dossiers m‚dicaux;Non;RCP sentinelles d?onco-urologie. Application au cancer de la prostate m‚tastatique (CaPm);Oui;Oui;fevrier 2018;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;decembre 2017;Dossiers M‚dicaux;Non;valuation de l?utilisation du b‚limumab en pratique clinique courante : observations en France.;Oui;Oui;janv-18;INDS;0;EHR without pairing with national database;;;
Bureau d'‚tude;Recherche priv‚e;fevrier 2019;PMSI seul;Non;Cr‚ation d'un outil d'analyse des donn‚es PMSI;Oui;Oui;mars-19;INDS;1;;Methods;;
CHU;Recherche publique;avr-18;Dossiers m‚dicaux;non;Transformation ph‚notypique en carcinome … petites cellules de cancers EGFR mut‚s : Analyse mol‚culaire comparative ;Oui;Oui;mai-18;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;nov-17;Dossiers m‚dicaux;Oui;Cytor‚duction seule VS cytor‚duction et ChimioHyperthermie Intrap‚riton‚ale (CHIP) dans le traitement … vis‚e curative des carcinoses p‚riton‚ales d?origine ovarienne.  Etude nationale fran‡aise, r‚trospective et multicentrique.;Oui;Oui;fevrier 2018;INDS;1;;Gynecology;Pharmacoepidemiology;Ovarian cancer
Agences;MinistŠre/Agences;decembre 2017;Dossiers M‚dicaux;Non;Etude des facteurs de risque de gravit‚ de la dengue en Nouvelle-Cal‚donie;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;18  03  19;PMSI national;;D‚doublonnage GIRCI GO 2017;;;;MR005;1;;Methods;;
CHU;Recherche publique;juin-19;Cohorte;Oui;D‚lais d'arriv‚e des secours auprŠs des patients en arrˆt cardiaque en fonction du niveau socio-‚conomique : l'‚tude de cohorte MEDIC;Oui;Oui;juil-19;INDS;1;;Cardiology;Transversal study;
industriel sant‚;Recherche priv‚e;;Dossiers M‚dicaux;Non;Faisabilit‚ de la chirurgie bariatrique dans les maladies inflammatoires intestinales et impact sur l?histoire naturelle de la maladie: registre r‚trospectifÿ;Non;Non;;INDS;0;EHR without pairing with national database;;;
CLCC;Recherche publique;decembre 2017;Dossiers M‚dicaux;Non;Evaluation de l?association radiotherapie et  anti PD-1 chez des patients pr‚sentant un cancer bronchique : une analyse r‚trospective multicentrique;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Universit‚ / Ecole;Recherche publique;mai-18;Enquˆtes;Non;Devenir des informations pr‚occupantes ‚mises par les professionnels de sant‚ : Enquˆte de pratique descriptive au sein du pole enfance famille  Aix En Provence;Oui;Oui;juil-18;INDS;0;Survey without pairing with national data;;;
INSERM-CNRS;Recherche publique;oct-18;Extraction SNDS;Oui;Demande d?accŠs aux donn‚es du systŠme national des donn‚es de sant‚ pour compl‚ter les informations sur les patients inclus dans la cohorte CKD-REIN (Chronic Kidney Disease-Renal Epidemiology and Information Network);Oui;Oui;nov-18;INDS;1;;Nephrology;Longitudinal study;
Universit‚ / Ecole;Recherche publique;fevrier 2018;Registres;Non;Etude biom‚trique de la croissance mandibulaire;Oui;Oui;avr-18;INDS;0;Register without pairing with national data;;;
INSERM-CNRS;Recherche publique;juin-19;Extraction SNDS;Oui;Demande d?accŠs aux donn‚es du systŠme national des donn‚es de sant‚ pour compl‚ter les informations sur les patients inclus dans le Registre National des Cancers de l'Enfant (RNCE) (projet COHOPER).;Oui;Oui;juin-19;INDS;1;;Pediatry;Longitudinal study;Oncology
Autres;Recherche priv‚e;decembre 2017;Enquˆtes;Non;Etude des repr‚sentations du diabŠte et de '‚ducation th‚rapeutique chez les patients diab‚tiques de type 2: Mieux comprendre les  conceptions du patient diab‚tique afin de favoriser l'adh‚sion aux programmes d'ETP;Non;Hors champs;;INDS;0;Survey without pairing with national data;;;
